ip,type,threat_category,confidence,severity,country,asn,first_seen,last_seen,tags,reporter
23.19.58.1,ipv4,c2_infrastructure,high,critical,US,AS394695 ColoCrossing,2024-06-01,2026-04-10,c2|beacon|cobalt-strike,siem-alert
23.19.58.100,ipv4,scanning,medium,low,US,AS394695 ColoCrossing,2024-07-01,2026-05-01,scanning|port-scan,honeypot
31.184.234.1,ipv4,phishing,high,high,RU,AS56694 Serverius Holding,2024-09-01,2026-04-20,phishing|credential-harvesting,partner-feed
31.184.234.80,ipv4,phishing,medium,medium,RU,AS56694 Serverius Holding,2024-09-10,2026-04-15,phishing,partner-feed
37.220.87.1,ipv4,c2_infrastructure,high,high,NL,AS9009 M247 Ltd,2024-05-01,2026-04-28,c2|beacon,siem-alert
37.220.87.50,ipv4,c2_infrastructure,medium,high,NL,AS9009 M247 Ltd,2024-05-10,2026-04-25,c2,siem-alert
51.255.48.1,ipv4,delivery,high,high,FR,AS16276 OVH SAS,2024-11-01,2026-04-01,delivery|dropper|malware,threat-intel-feed
51.255.48.80,ipv4,delivery,medium,medium,FR,AS16276 OVH SAS,2024-11-10,2026-03-25,delivery,threat-intel-feed
62.210.100.1,ipv4,lateral_movement,medium,high,FR,AS12876 Online SAS,2025-01-01,2026-03-10,lateral-movement|pivot,manual-investigation
62.210.100.50,ipv4,lateral_movement,low,medium,FR,AS12876 Online SAS,2025-01-10,2026-03-05,lateral-movement,manual-investigation
85.93.88.1,ipv4,scanning,high,medium,NL,AS62240 Clouvider Limited,2024-03-01,2026-05-12,scanning|mass-scan,honeypot
85.93.88.100,ipv4,scanning,medium,low,NL,AS62240 Clouvider Limited,2024-03-10,2026-05-10,scanning,honeypot
103.43.75.1,ipv4,c2_infrastructure,high,critical,HK,AS4775 Globe Telecom,2024-10-01,2026-04-15,c2|apt|beacon,partner-feed
103.43.75.50,ipv4,delivery,medium,high,HK,AS4775 Globe Telecom,2024-10-10,2026-04-10,delivery|dropper,threat-intel-feed
104.200.67.1,ipv4,persistence,high,high,US,AS14061 DigitalOcean LLC,2024-08-01,2026-05-01,persistence|backdoor,siem-alert
104.200.67.80,ipv4,exfiltration,high,critical,US,AS14061 DigitalOcean LLC,2024-08-10,2026-04-28,exfil|data-theft,manual-investigation
116.203.100.1,ipv4,scanning,medium,low,DE,AS24940 Hetzner Online GmbH,2024-04-01,2026-05-05,scanning|port-scan,honeypot
116.203.100.50,ipv4,scanning,low,low,DE,AS24940 Hetzner Online GmbH,2024-04-10,2026-05-03,scanning,honeypot
128.199.100.1,ipv4,c2_infrastructure,high,high,SG,AS14061 DigitalOcean LLC,2024-07-01,2026-04-18,c2|beacon,siem-alert
128.199.100.50,ipv4,c2_infrastructure,medium,high,SG,AS14061 DigitalOcean LLC,2024-07-10,2026-04-15,c2,siem-alert
152.89.196.1,ipv4,brute_force,high,high,RU,AS48642 OOO Service Pipe,2024-06-01,2026-05-08,brute-force|ssh|rdp,honeypot
152.89.196.80,ipv4,brute_force,high,high,RU,AS48642 OOO Service Pipe,2024-06-05,2026-05-06,brute-force|ssh,honeypot
164.215.100.1,ipv4,ransomware,high,critical,US,AS36352 AS-COLOCROSSING,2025-01-01,2026-03-20,ransomware|c2|exfil,partner-feed
164.215.100.50,ipv4,ransomware,medium,high,US,AS36352 AS-COLOCROSSING,2025-01-10,2026-03-15,ransomware,partner-feed
192.186.142.1,ipv4,delivery,medium,medium,US,AS36352 AS-COLOCROSSING,2025-02-01,2026-03-01,delivery|dropper,threat-intel-feed
